"title","Archive_Date","position","location","url","District","Category","Broad_Category"
"Student Achievement Teacher (SAT) (4)","2025-04-11","Teacher","Central Administration","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"Art Teacher","2025-04-11","Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Art Teacher","Art"
"Art Teacher (Shared with RSHS)","2025-04-11","Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Art Teacher","Art"
"Business Teacher","2025-04-11","Teacher","Farson Schools","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Business and Economics","CTE - Business & Family Sciences"
"Business Teacher","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Business and Economics","CTE - Business & Family Sciences"
"Elementary Teacher 6th Grade (2)","2025-04-11","Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"Elementary Teacher Kindergarten Teacher","2025-04-11","Teacher","Desert View Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"Elementary Teacher 2nd Grade","2025-04-11","Teacher","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"Elementary Teacher 3rd Grade","2025-04-11","Teacher","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"Elementary Teacher 1st Grade (2)","2025-04-11","Teacher","Desert View Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"EL Teacher","2025-04-11","Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"EL Teacher","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"English/Language Arts","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","English Language Arts Education","English Language Arts Secondary"
"Interventionist - Grant Funded","2025-04-11","Teacher","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"JROTC Army Non-Senior Military Instructor","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","CTE Teacher","CTE - Trades, Ag & Technical"
"Library Media Specialist 4-6","2025-04-11","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Library Media","Library Media"
"Math Teacher (3)","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","Math"
"Music Teacher (2) 4-6","2025-04-11","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"Music Teacher (2) K-3","2025-04-11","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"Music Teacher K-12","2025-04-11","Teacher","Farson Schools","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"Music/Choir Teacher","2025-04-11","Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"PE/Health Teacher","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"PE/Health Teacher","2025-04-11","Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"PE/Health Teacher-K-3","2025-04-11","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"Science Teacher","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Science Education","Science"
"Social Studies Teacher","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Social Studies Education","Secondary Social Studies"
"Resource Teacher (3)","2025-04-11","Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher","2025-04-11","Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher (3)","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher","2025-04-11","Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Alternative Academic-Daily Living Skills Program Teacher","2025-04-11","Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Alternative Academic-Daily Living Skills Program Teacher","2025-04-11","Teacher","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Alternative Academic-Daily Living Skills Program Teacher (2)","2025-04-11","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Teacher of the Visually Impaired","2025-04-11","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - General","Special Education - General"
"Trade and Technical Teacher (Industrial Arts/Ag)","2025-04-11","Teacher","Farson-Eden High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Technical Education","CTE - Trades, Ag & Technical"
"Elementary Classroom Teacher (K-6)","2025-04-11","Teacher","Location to be determined","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Elementary Education","Elementary"
"Athletic Trainer/Health Science Teacher","2025-04-11","Teacher","Green River High School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Health Science","CTE - Business & Family Sciences"
"Mathematics Teacher","2025-04-11","Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Mathematics Education","Math"
"Elementary Dual Immersion Teacher, 3rd Grade-Spanish Instruction","2025-04-11","Teacher","Munger Mountain Elementary","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"Elementary Teacher, Grades K-2, English and Dual Immersion (Spanish) Teachers","2025-04-11","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"Elementary Teacher, Grades 3-5, English and Dual Immersion (Spanish) Teachers","2025-04-11","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"Secondary English Teacher","2025-04-11","Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","English Language Arts Education","English Language Arts Secondary"
"Middle School STEM/Computer Science Teacher","2025-04-11","Teacher","Jackson Hole Middle School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Computer Science Education","CTE - Business & Family Sciences"
"K-12 Special Education Teacher","2025-04-11","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education - General","Special Education - General"
"Anticipated Early Education Teacher, Birth to age 3","2025-04-11","Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"Anticipated Early Education Teacher, Ages 3-5","2025-04-11","Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"Elementary Teacher","2025-04-11","Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Elementary Education","Elementary"
"Secondary English Language Arts Teacher","2025-04-11","Teacher","Evanston High School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","English Language Arts Education","English Language Arts Secondary"
"Secondary Science Teacher - 8th Grade","2025-04-11","Teacher","Davis Middle School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Science Education","Science"
"Special Education Consulting Teacher","2025-04-11","Teacher","Aspen Elementary","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education - General","Special Education - General"
"SPED Resource Teacher","2025-04-11","Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"High School Mathematics Teacher","2025-04-11","Teacher","Worland High School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Mathematics Education","Math"
"Middle School Special Education Teacher","2025-04-11","Teacher","Worland Middle School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Special Education - General","Special Education - General"
"Special Education Teacher - Trail Elementary School","2025-04-11","Teacher","Trail Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Special Education - General","Special Education - General"
"Teacher - Secondary Math - Torrington High School","2025-04-11","Teacher","Torrington High School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Mathematics Education","Math"
"Secondary Math Teacher for 2025-2026 School Year","2025-04-11","Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Mathematics Education","Math"
"Secondary Art Teacher 2025-26 School Year","2025-04-11","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Art Teacher","Art"
"Secondary Music Teacher 2025-26 School Year","2025-04-11","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Music Education","Music"
"Secondary Science Teacher 2025-26 School Year","2025-04-11","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Science Education","Science"
"Industrial Arts Teacher 2025-26 School Year","2025-04-11","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Technical Education","CTE - Trades, Ag & Technical"
"Secondary English Language Arts Teacher for 2025-26 School Year","2025-04-11","Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","English Language Arts Education","English Language Arts Secondary"
"Elementary Teacher 2025-26 School Year","2025-04-11","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Elementary Education","Elementary"
"Special Education Teacher","2025-04-11","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Special Education - General","Special Education - General"
"Foreign Language Teacher 2025-2026 school year","2025-04-11","Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Language"
"Social Studies/US History Teacher [TC39]","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Social Studies Education","Secondary Social Studies"
"1st Grade Teacher [TA03]","2025-04-11","Teacher","HOBBS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"7th Grade English Teacher [TC11]","2025-04-11","Teacher","CAREY JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","English Language Arts Education","English Language Arts Secondary"
"Life Skills/PALS Teacher [XT30]","2025-04-11","Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Middle School Electives Teacher","2025-04-11","Teacher","PODER ACADEMY SECONDARY (PASS)","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"5th or 6th Grade Teacher","2025-04-11","Teacher","MEADOWLARK ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Biology/Life Science Teacher - [TC26]","2025-04-11","Teacher","MCCORMICK JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"6th Grade Teacher [TA13]","2025-04-11","Teacher","GOINS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"Secondary Earth/Space Science Teacher [TC27]","2025-04-11","Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Kindergarten Teacher - 2025-2026 Contract Year Only [TA01]","2025-04-11","Teacher","DEMING ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"5th Grade Teacher [TA11] - 2025/2026 Contract Year Only","2025-04-11","Teacher","PIONEER PARK ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Secondary Art Teacher","2025-04-11","Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Art Teacher","Art"
"Secondary Math Teacher - Grade 8 [TC23]","2025-04-11","Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Technical Education Teacher [TC53]","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"Technical Education Teacher [TC53]","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"1st Grade Teacher [TA03]","2025-04-11","Teacher","PIONEER PARK ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"1st Grade Teacher - 2025/2026 Contract Year Only [TA03]","2025-04-11","Teacher","HENDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"4th Grade Teacher [TA09]","2025-04-11","Teacher","BAIN ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Resource Teacher [XT21]","2025-04-11","Teacher","HENDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Secondary Math Teacher [TC23]","2025-04-11","Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Secondary Math Teacher","2025-04-11","Teacher","PODER ACADEMY SECONDARY (PASS)","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Special Education Teacher","2025-04-11","Teacher","DILDINE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - General","Special Education - General"
"Special Education Resource/PALS Teacher 2025/2026 Contract year only [XT20] [XT21]","2025-04-11","Teacher","CAREY JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher [XT21]","2025-04-11","Teacher","BAGGS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher [XT21]","2025-04-11","Teacher","CAREY JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"General Music Teacher - Elementary [TB03]","2025-04-11","Teacher","BUFFALO RIDGE/HEBARD ELEMENTARY SCHOOLS","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Secondary Biology/Chemistry Teacher [TC26]","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Resource Teacher [XT21] - 2025/2026 Contract Year Only","2025-04-11","Teacher","HENDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"1st Grade Dual Language Immersion Teacher [TA40]","2025-04-11","Teacher","HOBBS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Middle School Science Teacher (7th and 8th)","2025-04-11","Teacher","PODER ACADEMY SECONDARY (PASS)","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"1st Grade Spanish Speaking DLI Teacher [TA40]","2025-04-11","Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Secondary English Teacher [TC11]","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","English Language Arts Education","English Language Arts Secondary"
"Secondary Spanish Teacher","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Language Education","Language"
"Secondary Math Teacher [TC23]","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Senior JROTC Instructor","2025-04-11","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","CTE Teacher","CTE - Trades, Ag & Technical"
"Oregon Trail 2nd Grade Classroom Teacher for the 2025-26 School Year Only","2025-04-11","Teacher","Oregon Trail Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"CCA Social Studies Teacher for the 2025-26 School Year Only","2025-04-11","Teacher","Casper Classical Academy","https://natronaschools.schoolspring.com/","Natrona School District 1","Social Studies Education","Secondary Social Studies"
"Fort Caspar Academy/Cottonwood Elementary Resource Special Education Teacher beginning the 25-26 school year","2025-04-11","Teacher","Fort Caspar Academy","https://natronaschools.schoolspring.com/","Natrona School District 1","Special Education - General","Special Education - General"
"Lincoln 3rd Grade Teacher for the 2025-26 School Year Only","2025-04-11","Teacher","Lincoln Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"Math Teacher- Roosevelt High School Beginning the 2025-2026 School Year","2025-04-11","Teacher","Roosevelt High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Mathematics Education","Math"
"Evansville Classroom Teacher - Physical Education for the 2025-2026 School Year Only","2025-04-11","Teacher","Evansville Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Physical Education","Physical Education"
"Verda James 5th Grade Classroom Teacher for the 2025-2026 School Year Only","2025-04-11","Teacher","Verda James Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"Special Education Teacher- Manor Heights/ Woods Beginning for the 2025-2026 School Year","2025-04-11","Teacher","Manor Heights Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Special Education - General","Special Education - General"
"Verda James Spanish Dual Language Immersion Teacher beginning the 2025-26 School Year","2025-04-11","Teacher","Verda James Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Language"
"District Based Special Education Teacher Beginning the 2025-2026 School Year","2025-04-11","Teacher","Special Education Services Center","https://natronaschools.schoolspring.com/","Natrona School District 1","Special Education - General","Special Education - General"
"Dean Morgan Special Education Teacher (FLS)","2025-04-11","Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Special Education - General","Special Education - General"
"Dean Morgan Language Arts Teacher for the 2025-26 School Year Only","2025-04-11","Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","English Language Arts Education","English Language Arts Secondary"
"Dean Morgan Science Teacher for the 2025-26 School Year Only","2025-04-11","Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Science Education","Science"
"Dean Morgan Math Teacher Beginning the 2025-26 School Year","2025-04-11","Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Mathematics Education","Math"
"KWHS Math Classroom Teacher Beginning the 2025-26 School Year","2025-04-11","Teacher","Kelly Walsh High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Mathematics Education","Math"
"KWHS - Marine Instructor (MI) OR Senior ROTC Marine Instructor (SMI)","2025-04-11","Teacher","Kelly Walsh High School","https://natronaschools.schoolspring.com/","Natrona School District 1","CTE Teacher","CTE - Trades, Ag & Technical"
"Secondary Math Teacher for 2025-2026 School Year","2025-04-11","Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Mathematics Education","Math"
"Secondary Art Teacher 2025-26 School Year","2025-04-11","Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Art Teacher","Art"
"Secondary Music Teacher 2025-26 School Year","2025-04-11","Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Music Education","Music"
"Secondary Science Teacher 2025-26 School Year","2025-04-11","Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Science Education","Science"
"Industrial Arts Teacher 2025-26 School Year","2025-04-11","Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Technical Education","CTE - Trades, Ag & Technical"
"Secondary English Language Arts Teacher for 2025-26 School Year","2025-04-11","Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","English Language Arts Education","English Language Arts Secondary"
"Elementary Teacher 2025-26 School Year","2025-04-11","Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Elementary Education","Elementary"
"Special Education Teacher","2025-04-11","Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Special Education - General","Special Education - General"
"Foreign Language Teacher 2025-2026 school year","2025-04-11","Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Language Education","Language"
"TEACHER (SPED IDEAL)","2025-04-11","Teacher","ASPEN ELEMENTARY","https://fremont25.schoolspring.com/","Fremont County School District 25","Special Education - General","Special Education - General"
"FRONTIER ACADEMY TEACHER (ELA or SOCIAL STUDIES)","2025-04-11","Teacher","FRONTIER ACADEMY","https://fremont25.schoolspring.com/","Fremont County School District 25","English Language Arts Education","English Language Arts Secondary"
"ELEMENTARY TEACHER (4TH GRADE)","2025-04-11","Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"HIGH SCHOOL TEACHER (WELDING)","2025-04-11","Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Technical Education","CTE - Trades, Ag & Technical"
"HIGH SCHOOL TEACHER (SOCIAL STUDIES)","2025-04-11","Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Social Studies Education","Secondary Social Studies"
"HIGH/MIDDLE SCHOOL TEACHER (MUSIC-VOCAL)","2025-04-11","Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Music Education","Music"
"HIGH SCHOOL TEACHER (MATH)","2025-04-11","Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Mathematics Education","Math"
"Elementary Instructional Extensions Lead Teacher","2025-04-11","Teacher","Albany County School District 1","https://acsd1.schoolspring.com/","Albany County School District 1","Elementary Education","Elementary"
"High School Science Teacher","2025-04-11","Teacher","Whiting High School","https://acsd1.schoolspring.com/","Albany County School District 1","Science Education","Science"
"Special Education Teacher","2025-04-11","Teacher","Slade Elementary School","https://acsd1.schoolspring.com/","Albany County School District 1","Special Education - General","Special Education - General"
"Elementary Teacher","2025-04-11","Teacher","Slade Elementary School","https://acsd1.schoolspring.com/","Albany County School District 1","Elementary Education","Elementary"
"High School English Teacher","2025-04-11","Teacher","Whiting High School","https://acsd1.schoolspring.com/","Albany County School District 1","English Language Arts Education","English Language Arts Secondary"
"High School Math Teacher","2025-04-11","Teacher","Laramie High School","https://acsd1.schoolspring.com/","Albany County School District 1","Mathematics Education","Math"
"Elementary Dual Language Immersion Teacher","2025-04-11","Teacher","Slade Elementary School","https://acsd1.schoolspring.com/","Albany County School District 1","Elementary Education","Elementary"
"Special Education Teacher","2025-04-11","Teacher","Laramie Middle School","https://acsd1.schoolspring.com/","Albany County School District 1","Special Education - General","Special Education - General"
"Fourth Grade Teacher","2025-04-11","Teacher","COTTONWOOD ELEMENTARY","https://campbell.schoolspring.com/","Campbell County School District 1","Elementary Education","Elementary"
"Gifted and Talented Education Teacher","2025-04-11","Teacher","BUFFALO RIDGE ELEMENTARY SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Gifted and Talented","Gifted and Talented"
"Dual Language Immersion Teacher - Social Studies","2025-04-11","Teacher","TWIN SPRUCE JUNIOR HIGH SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Language Education","Language"
"Fourth Grade Teacher","2025-04-11","Teacher","BUFFALO RIDGE ELEMENTARY SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Elementary Education","Elementary"
"Elementary Multiple Teacher","2025-04-11","Teacher","RECLUSE SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Elementary Education","Elementary"
"Dual Language Immersion Teacher - Spanish","2025-04-11","Teacher","STOCKTRAIL ELEMENTARY","https://campbell.schoolspring.com/","Campbell County School District 1","Language Education","Language"
"Gifted and Talented Education Teacher","2025-04-11","Teacher","PRONGHORN ELEMENTARY","https://campbell.schoolspring.com/","Campbell County School District 1","Gifted and Talented","Gifted and Talented"
"Physical Education Teacher","2025-04-11","Teacher","THUNDER BASIN HIGH SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Physical Education","Physical Education"
"ESL (English as a Second Language) Teacher Assistant","2025-04-11","Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Elementary Education","Elementary"
"Math Teacher","2025-04-11","Teacher","WRIGHT JR./SR. HIGH SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Mathematics Education","Math"
"Foreign Language Teacher - German","2025-04-11","Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.schoolspring.com/","Campbell County School District 1","Language Education","Language"
