"","Category","Archive_Date","Institution","sum"
"571","Math",2025-04-04,"Total",5
"572","Math",2025-04-11,"Total",5
"573","Math",2025-04-18,"Total",5
"574","Math",2025-04-25,"Total",5
"575","Math",2025-05-02,"Total",6
"576","Math",2025-05-09,"Total",5
"577","Math",2025-05-16,"Total",4
"578","Math",2025-05-23,"Total",5
"579","Math",2025-05-30,"Total",5
"580","Math",2025-06-06,"Total",3
"581","Math",2025-06-13,"Total",3
"582","Math",2025-06-20,"Total",3
"583","Math",2025-06-27,"Total",3
"584","Math",2025-07-04,"Total",3
"585","Math",2025-07-11,"Total",3
"586","Math",2025-07-18,"Total",3
"587","Math",2025-07-25,"Total",3
"588","Math",2025-08-01,"Total",3
"589","Math",2025-08-08,"Total",3
"590","Math",2025-08-15,"Total",4
"591","Math",2025-08-22,"Total",4
"592","Math",2025-08-29,"Total",3
"593","Math",2025-09-05,"Total",3
"594","Math",2025-09-12,"Total",3
"595","Math",2025-09-19,"Total",2
"596","Math",2025-09-26,"Total",2
"597","Math",2025-10-03,"Total",2
"598","Math",2025-10-10,"Total",2
"599","Math",2025-10-17,"Total",2
"600","Math",2025-10-24,"Total",1
"601","Math",2025-10-31,"Total",1
"602","Math",2025-11-07,"Total",2
"603","Math",2025-11-14,"Total",2
"604","Math",2025-11-21,"Total",2
"605","Math",2025-11-28,"Total",2
"606","Math",2025-12-05,"Total",2
"607","Math",2025-12-12,"Total",2
"608","Math",2025-12-19,"Total",2
"609","Math",2025-12-26,"Total",2
"610","Math",2026-01-02,"Total",2
"611","Math",2026-01-09,"Total",2
"612","Math",2026-01-16,"Total",2
"613","Math",2026-01-23,"Total",2
"614","Math",2026-01-30,"Total",2
"615","Math",2026-02-06,"Total",2
"616","Math",2026-02-13,"Total",3
"617","Math",2026-02-20,"Total",3
"618","Math",2026-02-27,"Total",3
"619","Math",2026-08-03,"Total",2
"620","Physical Education",2024-08-09,"Total",1
"621","Physical Education",2024-08-16,"Total",1
"622","Physical Education",2024-08-23,"Total",1
"623","Physical Education",2024-08-30,"Total",1
"624","Physical Education",2024-09-06,"Total",1
"625","Physical Education",2024-09-13,"Total",1
"626","Physical Education",2024-09-20,"Total",1
"627","Physical Education",2024-09-27,"Total",1
"628","Physical Education",2024-10-04,"Total",1
"629","Physical Education",2024-10-11,"Total",2
"630","Physical Education",2024-10-18,"Total",2
"631","Physical Education",2024-10-25,"Total",2
"632","Physical Education",2024-11-01,"Total",2
"633","Physical Education",2024-11-08,"Total",2
"634","Physical Education",2024-11-15,"Total",3
"635","Physical Education",2024-11-22,"Total",3
"636","Physical Education",2024-11-29,"Total",3
"637","Physical Education",2024-12-06,"Total",3
"638","Physical Education",2024-12-13,"Total",3
"639","Physical Education",2024-12-20,"Total",3
"640","Physical Education",2024-12-27,"Total",3
"641","Physical Education",2025-01-03,"Total",3
"642","Physical Education",2025-01-10,"Total",3
"643","Physical Education",2025-01-17,"Total",3
"644","Physical Education",2025-01-24,"Total",2
"645","Physical Education",2025-01-31,"Total",2
"646","Physical Education",2025-02-07,"Total",2
"647","Physical Education",2025-02-14,"Total",1
"648","Physical Education",2025-02-21,"Total",1
"649","Physical Education",2025-02-28,"Total",1
"650","Physical Education",2025-03-07,"Total",1
"651","Physical Education",2025-03-14,"Total",1
"652","Physical Education",2025-03-21,"Total",1
"653","Physical Education",2025-03-28,"Total",1
"654","Physical Education",2025-04-04,"Total",1
"655","Physical Education",2025-06-20,"Total",1
"656","Physical Education",2025-07-04,"Total",1
"657","Physical Education",2025-09-05,"Total",1
"658","Physical Education",2025-09-12,"Total",1
"659","Physical Education",2025-09-19,"Total",1
"660","Physical Education",2025-09-26,"Total",1
"661","Physical Education",2025-10-03,"Total",1
"662","Physical Education",2025-10-10,"Total",1
"663","Physical Education",2025-10-17,"Total",1
"664","Physical Education",2025-10-24,"Total",2
"665","Physical Education",2025-10-31,"Total",2
"666","Physical Education",2025-11-07,"Total",2
"667","Physical Education",2025-11-14,"Total",1
"668","Physical Education",2025-11-21,"Total",1
"669","Physical Education",2025-11-28,"Total",1
"670","Physical Education",2025-12-05,"Total",1
"671","Physical Education",2025-12-12,"Total",1
"672","Physical Education",2025-12-19,"Total",1
"673","Physical Education",2025-12-26,"Total",1
"674","Physical Education",2026-01-02,"Total",1
"675","Physical Education",2026-01-09,"Total",1
"676","Physical Education",2026-01-16,"Total",1
