"District","County","Latitude","Longitude","Link","Job_Link","Teacher_Base_Salary","Teacher_Base_Salary_Prior_Year","Salary_Year","Superintendent_Salary","Superintendent_Contract_Days","Salary_Source","Teachers_Total_FTE","Enrollment","CCD_Year","CCD_Source","Data_Coverage","Median_Household_Income","Median_Gross_Rent","Population","ACS_Year","Mining_Employment_Share","Population_Change_Pct"
"Uinta County School District 1","Uinta County, Wyoming",41.25955,-110.963655,"https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1",53400,53400,"2025-2026",178750,260,"WSBA (wsba-wy.org)",222,2612,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",82980,900,20644,2024,0.0514285714285714,0.00805703403486498
"Uinta County School District 4","Uinta County, Wyoming",41.270056,-110.338681,"https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings",57000,56000,"2025-2026",140000,230,"WSBA (wsba-wy.org)",65,684,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",82980,900,20644,2024,0.0514285714285714,0.00805703403486498
"Uinta County School District 6","Uinta County, Wyoming",41.328973,-110.290073,"https://sites.google.com/lymanschools.org/ucsd6/home/job-openings?authuser=0","https://sites.google.com/lymanschools.org/ucsd6/home/job-openings?authuser=0",55000,53500,"2025-2026",160000,208,"WSBA (wsba-wy.org)",58,724,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",82980,900,20644,2024,0.0514285714285714,0.00805703403486498
"Washakie County School District 1","Washakie County, Wyoming",44.011407,-107.943865,"https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1",53500,51500,"2025-2026",162000,260,"WSBA (wsba-wy.org)",96,1092,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",65714,720,7703,2024,0.0279009126466754,-0.0403637722685935
"Washakie County School District 2","Washakie County, Wyoming",44.036012,-107.447922,"https://www.wsh2.k12.wy.us/apps/pages/index.jsp?uREC_ID=440610&type=d&pREC_ID=1008214","https://www.wsh2.k12.wy.us/apps/pages/index.jsp?uREC_ID=440610&type=d&pREC_ID=1008214",44000,44000,"2025-2026",84000,260,"WSBA (wsba-wy.org)",16,104,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",65714,720,7703,2024,0.0279009126466754,-0.0403637722685935
"Weston County School District 1","Weston County, Wyoming",43.849027,-104.207953,"https://www.wcsd1.org/apps/pages/Career_Opportunities","https://www.wcsd1.org/apps/pages/Career_Opportunities",51750,51000,"2025-2026",148250,260,"WSBA (wsba-wy.org)",71,745,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",89509,698,6826,2024,0.185138539042821,-0.0316356930061002
"Weston County School District 7","Weston County, Wyoming",44.100871,-104.622568,"https://www.weston7.org/o/wcsd/page/employment","https://www.weston7.org/o/wcsd/page/employment",50000,48500,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",24,859,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",89509,698,6826,2024,0.185138539042821,-0.0316356930061002
"Snowy Range Academy","Albany County, Wyoming",41.305532,-105.543138,NA,"https://www.wsba-wy.org/vacancies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial (WSBA only)",61917,931,38249,2024,0.0102758494702229,-0.00367283146652774
"Laramie Montessori Charter School","Albany County, Wyoming",41.308036,-105.592698,NA,"https://recruiting.paylocity.com/recruiting/jobs/All/70f7d03b-6c9f-4106-8e70-9d781a8bbcba/Laramie-Montessori-School-Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full",61917,931,38249,2024,0.0102758494702229,-0.00367283146652774
"Cheyenne Classical Academy","Laramie County, Wyoming",41.138976,-104.816427,NA,"https://www.cheyenneclassical.org/employment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial (WSBA + own page)",80173,1160,101060,2024,0.0136619833360562,0.0278681855166802
"Wyoming Classical Academy","Natrona County, Wyoming",42.841406,-106.366612,NA,"https://www.wyoclassical.org/employment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial (WSBA + own page)",72156,1016,79977,2024,0.0579024669537726,-0.004431553657899
"Prairie View Community School","Platte County, Wyoming",41.76044,-104.823155,NA,"https://prairieviewschool.org/employment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial (WSBA + own page)",67718,781,8612,2024,0.00729312762973352,0.00349568865066418
